state_code,lat,lon,bird,lat_zone
IA,42.68,-91.76,Eastern Goldfinch,middle
ND,48.37,-102.39,Western Meadowlark,middle
NJ,39.26,-74.9,Eastern Goldfinch,middle
VT,44.8,-72.56,Hermit Thrush,middle
NV,37.36,-117.39,Mountain Bluebird,middle
LA,30.87,-92.86,Brown Pelican,middle
WI,45.91,-88.12,American Robin,middle
MN,48.64,-95.44,Common Loon,middle
NY,44.4,-74.75,Eastern Bluebird,middle
OH,39.64,-80.9,Northern Cardinal,middle
GA,31.88,-85.03,Brown Thrasher,middle
TN,36.19,-89.56,Northern Mockingbird,middle
IN,39.45,-86.56,Northern Cardinal,middle
NM,32.15,-103.52,Greater Roadrunner,middle
WA,46.47,-119.75,Willow Goldfinch,middle
NJ,39.94,-74.77,Eastern Goldfinch,middle
TX,30.47,-101.6,Northern Mockingbird,middle
AR,36.45,-91.34,Northern Mockingbird,middle
RI,41.56,-71.49,Rhode Island Red,middle
CO,38.48,-106.8,Lark Bunting,middle
IA,42.74,-92.32,Eastern Goldfinch,middle
AR,35.3,-94.41,Northern Mockingbird,middle
CA,40.92,-122.01,California Quail,middle
CT,41.85,-73.48,American Robin,middle
AK,69.58,-142.82,Willow Ptarmigan,high
MD,39.12,-75.91,Baltimore Oriole,middle
IN,40.51,-85.99,Northern Cardinal,middle
GA,30.69,-83.31,Brown Thrasher,middle
DE,39.0,-75.5,Delaware Blue Hen,middle
FL,26.74,-81.6,Northern Mockingbird,low
MT,46.57,-108.06,Western Meadowlark,middle
KS,37.16,-99.88,Western Meadowlark,middle
GA,31.43,-82.04,Brown Thrasher,middle
ID,44.81,-114.1,Mountain Bluebird,middle
NJ,41.07,-74.14,Eastern Goldfinch,middle
WA,47.23,-123.79,Willow Goldfinch,middle
DC,38.88,-77.03,Not Recorded,middle
WA,46.53,-121.83,Willow Goldfinch,middle
KS,39.89,-99.87,Western Meadowlark,middle
GA,34.46,-83.86,Brown Thrasher,middle
IA,41.06,-94.45,Eastern Goldfinch,middle
UT,39.5,-113.05,California Gull,middle
LA,32.99,-92.12,Brown Pelican,middle
TX,30.91,-105.41,Northern Mockingbird,middle
AZ,31.77,-109.35,Cactus Wren,middle
RI,41.59,-71.75,Rhode Island Red,middle
CA,34.26,-114.21,California Quail,middle
SD,43.19,-99.6,Ring-necked Pheasant,middle
OH,40.86,-81.26,Northern Cardinal,middle
OH,41.24,-81.36,Northern Cardinal,middle
GA,32.05,-81.0,Brown Thrasher,middle
ND,48.52,-98.34,Western Meadowlark,middle
SC,33.6,-80.97,Carolina Wren,middle
ID,44.14,-114.76,Mountain Bluebird,middle
TX,32.81,-96.76,Northern Mockingbird,middle
WI,43.57,-91.04,American Robin,middle
MN,43.58,-94.75,Common Loon,middle
MA,41.68,-70.39,Black-capped Chickadee,middle
ME,46.92,-69.48,Chickadee,middle
TX,30.46,-101.73,Northern Mockingbird,middle
PA,40.34,-78.85,Northern Cardinal,middle
MD,39.53,-78.97,Baltimore Oriole,middle
NM,34.3,-108.46,Greater Roadrunner,middle
AR,35.78,-92.59,Northern Mockingbird,middle
TN,36.29,-83.92,Northern Mockingbird,middle
IN,38.44,-86.71,Northern Cardinal,middle
CT,41.72,-72.62,American Robin,middle
LA,31.32,-93.62,Brown Pelican,middle
KS,37.67,-98.69,Western Meadowlark,middle
SC,34.35,-82.24,Carolina Wren,middle
MS,34.48,-90.1,Northern Mockingbird,middle
DE,39.07,-75.56,Delaware Blue Hen,middle
VT,43.66,-72.62,Hermit Thrush,middle
DC,38.93,-77.05,Not Recorded,middle
NM,34.75,-105.93,Greater Roadrunner,middle
SC,33.12,-80.72,Carolina Wren,middle
IN,38.29,-86.94,Northern Cardinal,middle
AZ,32.63,-110.32,Cactus Wren,middle
ID,43.24,-113.13,Mountain Bluebird,middle
MN,44.77,-94.39,Common Loon,middle
SC,33.87,-78.71,Carolina Wren,middle
FL,28.35,-81.33,Northern Mockingbird,low
OR,42.65,-117.55,Western Meadowlark,middle
NC,35.11,-83.49,Northern Cardinal,middle
AR,35.15,-92.81,Northern Mockingbird,middle
IN,40.75,-86.84,Northern Cardinal,middle
SC,33.51,-80.73,Carolina Wren,middle
MD,38.55,-77.12,Baltimore Oriole,middle
CA,38.98,-122.56,California Quail,middle
VA,37.35,-78.36,Northern Cardinal,middle
NV,37.38,-116.67,Mountain Bluebird,middle
WV,39.7,-80.44,Northern Cardinal,middle
VT,43.64,-72.5,Hermit Thrush,middle
AZ,35.59,-111.82,Cactus Wren,middle
RI,41.69,-71.5,Rhode Island Red,middle
WV,38.25,-82.04,Northern Cardinal,middle
MD,39.07,-76.44,Baltimore Oriole,middle
MT,45.71,-112.13,Western Meadowlark,middle
VT,44.94,-72.7,Hermit Thrush,middle
DE,39.78,-75.6,Delaware Blue Hen,middle
MT,48.8,-112.54,Western Meadowlark,middle
IN,38.45,-86.02,Northern Cardinal,middle
TN,36.32,-85.58,Northern Mockingbird,middle
NJ,40.21,-74.11,Eastern Goldfinch,middle
MI,41.99,-83.58,American Robin,middle
WI,43.36,-89.04,American Robin,middle
NC,35.37,-81.63,Northern Cardinal,middle
MI,44.11,-86.27,American Robin,middle
TX,31.27,-93.88,Northern Mockingbird,middle
IA,42.06,-94.33,Eastern Goldfinch,middle
TX,32.02,-95.57,Northern Mockingbird,middle
AR,36.32,-91.4,Northern Mockingbird,middle
MN,46.94,-96.19,Common Loon,middle
OK,35.45,-98.57,Scissor-tailed Flycatcher,middle
MO,38.56,-91.98,Eastern Bluebird,middle
MS,34.65,-89.6,Northern Mockingbird,middle
AK,63.34,-149.1,Willow Ptarmigan,high
UT,38.06,-110.24,California Gull,middle
MO,38.7,-92.98,Eastern Bluebird,middle
ID,44.11,-114.39,Mountain Bluebird,middle
SC,32.82,-80.24,Carolina Wren,middle
IA,42.03,-94.92,Eastern Goldfinch,middle
VT,42.88,-72.89,Hermit Thrush,middle
CA,41.62,-120.36,California Quail,middle
MI,42.91,-84.04,American Robin,middle
MT,45.84,-112.1,Western Meadowlark,middle
TX,28.02,-99.94,Northern Mockingbird,low
SC,34.06,-79.95,Carolina Wren,middle
NY,42.14,-78.23,Eastern Bluebird,middle
UT,38.99,-113.71,California Gull,middle
MT,46.75,-112.02,Western Meadowlark,middle
UT,37.26,-113.46,California Gull,middle
IA,42.67,-94.64,Eastern Goldfinch,middle
CA,35.2,-118.58,California Quail,middle
ID,44.73,-116.89,Mountain Bluebird,middle
IL,38.15,-89.26,Northern Cardinal,middle
WY,43.69,-108.72,Western Meadowlark,middle
FL,28.18,-80.76,Northern Mockingbird,low
AL,32.34,-85.27,Yellowhammer,middle
AZ,32.76,-113.73,Cactus Wren,middle
LA,30.29,-93.15,Brown Pelican,middle
SD,43.4,-97.8,Ring-necked Pheasant,middle
WI,44.14,-89.2,American Robin,middle
SD,44.42,-98.2,Ring-necked Pheasant,middle
NJ,40.84,-74.08,Eastern Goldfinch,middle
LA,30.0,-90.48,Brown Pelican,low
CO,40.62,-108.24,Lark Bunting,middle
NJ,41.01,-74.39,Eastern Goldfinch,middle
WI,45.28,-91.72,American Robin,middle
GA,31.15,-84.31,Brown Thrasher,middle
UT,38.18,-110.63,California Gull,middle
NJ,41.07,-74.54,Eastern Goldfinch,middle
VA,38.72,-78.15,Northern Cardinal,middle
RI,41.36,-71.71,Rhode Island Red,middle
NV,41.25,-115.9,Mountain Bluebird,middle
MO,38.78,-91.73,Eastern Bluebird,middle
AZ,33.64,-113.45,Cactus Wren,middle
WV,38.93,-81.65,Northern Cardinal,middle
GA,31.31,-82.41,Brown Thrasher,middle
NE,42.63,-96.83,Western Meadowlark,middle
IN,38.82,-87.15,Northern Cardinal,middle
MD,38.97,-77.13,Baltimore Oriole,middle
IA,42.35,-92.93,Eastern Goldfinch,middle
ME,44.69,-70.05,Chickadee,middle
KS,39.09,-95.7,Western Meadowlark,middle
OH,39.43,-84.35,Northern Cardinal,middle
NY,44.88,-74.57,Eastern Bluebird,middle
AL,32.13,-88.05,Yellowhammer,middle
IN,41.48,-85.26,Northern Cardinal,middle
FL,26.48,-80.94,Northern Mockingbird,low
DE,38.7,-75.28,Delaware Blue Hen,middle
MT,48.73,-115.18,Western Meadowlark,middle
UT,40.9,-111.47,California Gull,middle
TN,36.38,-83.34,Northern Mockingbird,middle
IA,43.45,-93.34,Eastern Goldfinch,middle
GA,30.74,-83.25,Brown Thrasher,middle
AL,34.71,-86.67,Yellowhammer,middle
KY,36.82,-84.11,Northern Cardinal,middle
MS,34.4,-90.31,Northern Mockingbird,middle
MN,47.68,-92.89,Common Loon,middle
OK,36.55,-101.34,Scissor-tailed Flycatcher,middle
CO,40.89,-104.45,Lark Bunting,middle
OK,35.31,-95.85,Scissor-tailed Flycatcher,middle
CT,41.42,-71.91,American Robin,middle
NV,39.94,-116.88,Mountain Bluebird,middle
LA,30.09,-92.11,Brown Pelican,middle
ME,44.55,-69.13,Chickadee,middle
NH,42.9,-71.63,Purple Finch,middle
ID,44.05,-114.35,Mountain Bluebird,middle
NE,41.61,-98.1,Western Meadowlark,middle
CA,36.7,-119.76,California Quail,middle
NM,32.37,-106.87,Greater Roadrunner,middle
NJ,40.91,-74.75,Eastern Goldfinch,middle
IA,42.5,-95.05,Eastern Goldfinch,middle
CT,41.95,-71.84,American Robin,middle
NJ,40.69,-74.65,Eastern Goldfinch,middle
NJ,41.25,-74.73,Eastern Goldfinch,middle
SD,44.33,-101.11,Ring-necked Pheasant,middle
NH,44.35,-71.21,Purple Finch,middle
TN,36.55,-83.78,Northern Mockingbird,middle
WA,45.91,-121.25,Willow Goldfinch,middle
LA,30.66,-93.1,Brown Pelican,middle
AK,61.1,-148.08,Willow Ptarmigan,high
SC,34.48,-81.54,Carolina Wren,middle
AK,61.73,-163.48,Willow Ptarmigan,high
KY,37.34,-84.77,Northern Cardinal,middle
OR,42.14,-122.45,Western Meadowlark,middle
CO,40.15,-104.86,Lark Bunting,middle
AZ,36.31,-109.79,Cactus Wren,middle
DC,38.91,-76.96,Not Recorded,middle
ID,42.93,-116.32,Mountain Bluebird,middle
AZ,34.57,-112.58,Cactus Wren,middle
ID,45.08,-113.7,Mountain Bluebird,middle
AL,33.26,-86.58,Yellowhammer,middle
VA,36.78,-80.46,Northern Cardinal,middle
WY,41.7,-105.55,Western Meadowlark,middle
LA,31.23,-92.73,Brown Pelican,middle
NV,41.94,-114.31,Mountain Bluebird,middle
NM,32.91,-106.94,Greater Roadrunner,middle
NJ,39.79,-74.37,Eastern Goldfinch,middle
IA,41.56,-92.95,Eastern Goldfinch,middle
HI,20.77,-156.94,Hawaiian Nene,low
TX,29.93,-96.14,Northern Mockingbird,low
IL,39.12,-90.42,Northern Cardinal,middle
VA,37.07,-77.72,Northern Cardinal,middle
NH,43.74,-71.63,Purple Finch,middle
IL,38.68,-89.5,Northern Cardinal,middle
WY,44.19,-109.32,Western Meadowlark,middle
KY,37.33,-87.41,Northern Cardinal,middle
MI,44.46,-84.43,American Robin,middle
AK,69.31,-143.09,Willow Ptarmigan,high
CO,40.77,-107.02,Lark Bunting,middle
TX,32.03,-94.29,Northern Mockingbird,middle
TX,32.69,-101.84,Northern Mockingbird,middle
NJ,40.82,-75.0,Eastern Goldfinch,middle
OR,42.09,-121.02,Western Meadowlark,middle
MT,48.56,-114.43,Western Meadowlark,middle
DC,38.88,-77.01,Not Recorded,middle
PA,41.37,-80.02,Northern Cardinal,middle
TX,30.97,-98.41,Northern Mockingbird,middle
ND,48.72,-98.38,Western Meadowlark,middle
CA,40.56,-121.0,California Quail,middle
NC,35.72,-80.62,Northern Cardinal,middle
VT,43.38,-73.18,Hermit Thrush,middle
PA,40.36,-77.36,Northern Cardinal,middle
ID,42.6,-113.57,Mountain Bluebird,middle
VT,44.93,-72.0,Hermit Thrush,middle
VT,43.51,-72.96,Hermit Thrush,middle
NH,43.72,-71.45,Purple Finch,middle
ND,48.9,-102.85,Western Meadowlark,middle
NE,41.37,-97.24,Western Meadowlark,middle
DE,38.46,-75.33,Delaware Blue Hen,middle
FL,26.58,-80.67,Northern Mockingbird,low
IA,43.26,-95.04,Eastern Goldfinch,middle
MN,47.97,-94.02,Common Loon,middle
OR,42.4,-123.61,Western Meadowlark,middle
KY,37.53,-87.56,Northern Cardinal,middle
NY,43.17,-74.61,Eastern Bluebird,middle
WY,42.42,-110.07,Western Meadowlark,middle
IL,39.22,-88.24,Northern Cardinal,middle
KY,38.51,-84.77,Northern Cardinal,middle
IN,41.13,-86.78,Northern Cardinal,middle
MD,38.83,-76.63,Baltimore Oriole,middle
HI,19.87,-155.18,Hawaiian Nene,low
AR,35.83,-93.04,Northern Mockingbird,middle
RI,41.73,-71.32,Rhode Island Red,middle
AR,33.62,-92.82,Northern Mockingbird,middle
PA,41.5,-79.84,Northern Cardinal,middle
TN,35.44,-84.37,Northern Mockingbird,middle
GA,34.28,-84.9,Brown Thrasher,middle
MD,38.01,-75.74,Baltimore Oriole,middle
MO,39.11,-91.16,Eastern Bluebird,middle
IA,42.38,-95.62,Eastern Goldfinch,middle
MO,40.25,-94.57,Eastern Bluebird,middle
ND,46.49,-102.1,Western Meadowlark,middle
OH,41.07,-83.75,Northern Cardinal,middle
OH,41.15,-83.89,Northern Cardinal,middle
NJ,41.04,-74.46,Eastern Goldfinch,middle
MT,46.72,-104.27,Western Meadowlark,middle
MS,34.85,-88.95,Northern Mockingbird,middle
IL,40.11,-88.66,Northern Cardinal,middle
MD,38.7,-75.82,Baltimore Oriole,middle
CT,41.16,-73.17,American Robin,middle
ND,49.0,-99.17,Western Meadowlark,middle
FL,28.54,-80.66,Northern Mockingbird,low
MO,40.52,-93.08,Eastern Bluebird,middle
SC,33.58,-80.04,Carolina Wren,middle
WA,46.83,-121.44,Willow Goldfinch,middle
GA,30.92,-82.14,Brown Thrasher,middle
HI,19.04,-155.78,Hawaiian Nene,low
LA,29.95,-92.4,Brown Pelican,low
NC,35.98,-77.01,Northern Cardinal,middle
NV,36.25,-115.74,Mountain Bluebird,middle
PA,40.44,-76.75,Northern Cardinal,middle
ID,42.14,-113.57,Mountain Bluebird,middle
ID,44.71,-115.53,Mountain Bluebird,middle
KS,37.14,-98.19,Western Meadowlark,middle
WI,45.86,-89.02,American Robin,middle
OH,41.49,-83.87,Northern Cardinal,middle
WY,43.38,-110.06,Western Meadowlark,middle
RI,41.7,-71.71,Rhode Island Red,middle
MD,38.18,-75.81,Baltimore Oriole,middle
WV,39.35,-80.21,Northern Cardinal,middle
IL,37.58,-88.89,Northern Cardinal,middle
OK,35.43,-97.21,Scissor-tailed Flycatcher,middle
CA,36.27,-117.58,California Quail,middle
NE,42.38,-103.49,Western Meadowlark,middle
OH,40.7,-84.04,Northern Cardinal,middle
KS,37.04,-101.57,Western Meadowlark,middle
GA,34.66,-83.85,Brown Thrasher,middle
WA,47.74,-117.1,Willow Goldfinch,middle
IA,40.63,-94.86,Eastern Goldfinch,middle
MT,45.08,-105.17,Western Meadowlark,middle
TN,35.53,-86.04,Northern Mockingbird,middle
MD,39.35,-77.53,Baltimore Oriole,middle
OR,44.4,-121.58,Western Meadowlark,middle
WV,39.66,-79.59,Northern Cardinal,middle
NY,42.25,-78.22,Eastern Bluebird,middle
MA,42.41,-72.86,Black-capped Chickadee,middle
NY,41.99,-74.62,Eastern Bluebird,middle
RI,41.64,-71.76,Rhode Island Red,middle
SD,45.68,-103.41,Ring-necked Pheasant,middle
CA,39.82,-120.49,California Quail,middle
DC,38.96,-77.03,Not Recorded,middle
ME,44.88,-68.37,Chickadee,middle
ID,46.14,-116.14,Mountain Bluebird,middle
SC,34.8,-80.59,Carolina Wren,middle
ID,44.18,-114.48,Mountain Bluebird,middle
MO,38.69,-92.53,Eastern Bluebird,middle
TX,29.28,-100.61,Northern Mockingbird,low
NM,36.3,-103.72,Greater Roadrunner,middle
NH,43.65,-72.31,Purple Finch,middle
KY,36.96,-88.45,Northern Cardinal,middle
AZ,34.91,-110.53,Cactus Wren,middle
DC,38.88,-77.06,Not Recorded,middle
CT,41.34,-73.29,American Robin,middle
UT,38.49,-109.51,California Gull,middle
LA,29.22,-89.44,Brown Pelican,low
MS,33.88,-90.09,Northern Mockingbird,middle
WY,43.86,-110.35,Western Meadowlark,middle
CA,37.95,-119.65,California Quail,middle
NJ,39.16,-74.72,Eastern Goldfinch,middle
SD,43.89,-103.58,Ring-necked Pheasant,middle
CA,34.31,-115.36,California Quail,middle
MO,36.63,-92.94,Eastern Bluebird,middle
MI,42.14,-85.74,American Robin,middle
WV,38.75,-80.25,Northern Cardinal,middle
NV,41.86,-117.16,Mountain Bluebird,middle
DC,38.92,-77.0,Not Recorded,middle
UT,38.98,-112.02,California Gull,middle
MI,42.4,-85.97,American Robin,middle
WV,38.94,-79.3,Northern Cardinal,middle
PA,40.72,-76.16,Northern Cardinal,middle
ID,44.23,-116.2,Mountain Bluebird,middle
MA,42.48,-73.23,Black-capped Chickadee,middle
AL,31.44,-86.6,Yellowhammer,middle
TX,31.46,-95.96,Northern Mockingbird,middle
NM,33.48,-105.9,Greater Roadrunner,middle
DC,38.9,-76.94,Not Recorded,middle
KY,36.85,-83.82,Northern Cardinal,middle
CT,41.37,-72.2,American Robin,middle
ND,46.9,-97.68,Western Meadowlark,middle
SD,45.58,-101.18,Ring-necked Pheasant,middle
WV,37.96,-81.23,Northern Cardinal,middle
AR,35.45,-94.26,Northern Mockingbird,middle
PA,41.93,-80.37,Northern Cardinal,middle
MI,46.29,-89.59,American Robin,middle
DE,39.78,-75.61,Delaware Blue Hen,middle
SC,33.36,-80.38,Carolina Wren,middle
PA,41.44,-79.5,Northern Cardinal,middle
PA,40.4,-76.33,Northern Cardinal,middle
UT,38.97,-110.02,California Gull,middle
MI,46.66,-89.34,American Robin,middle
AK,64.1,-143.3,Willow Ptarmigan,high
KY,37.88,-83.65,Northern Cardinal,middle
CA,37.95,-121.91,California Quail,middle
CA,39.2,-120.39,California Quail,middle
KY,36.71,-84.63,Northern Cardinal,middle
AZ,34.14,-113.43,Cactus Wren,middle
WV,37.54,-80.83,Northern Cardinal,middle
DC,38.93,-76.98,Not Recorded,middle
PA,40.08,-79.3,Northern Cardinal,middle
IL,42.12,-87.78,Northern Cardinal,middle
MS,33.65,-89.85,Northern Mockingbird,middle
NJ,41.3,-74.63,Eastern Goldfinch,middle
CA,38.12,-121.79,California Quail,middle
ND,48.3,-99.24,Western Meadowlark,middle
WI,45.06,-92.73,American Robin,middle
AK,66.42,-152.46,Willow Ptarmigan,high
KS,38.95,-96.28,Western Meadowlark,middle
MA,42.19,-71.06,Black-capped Chickadee,middle
WV,39.53,-78.15,Northern Cardinal,middle
AZ,32.31,-109.52,Cactus Wren,middle
RI,41.52,-71.16,Rhode Island Red,middle
ME,46.5,-67.87,Chickadee,middle
OK,34.62,-96.1,Scissor-tailed Flycatcher,middle
SC,34.09,-81.43,Carolina Wren,middle
WA,47.12,-117.86,Willow Goldfinch,middle
SC,34.99,-81.17,Carolina Wren,middle
AL,32.19,-85.03,Yellowhammer,middle
CO,39.08,-105.1,Lark Bunting,middle
TN,36.25,-83.8,Northern Mockingbird,middle
NJ,41.21,-74.42,Eastern Goldfinch,middle
ND,48.35,-104.05,Western Meadowlark,middle
CA,39.01,-123.21,California Quail,middle
WA,47.29,-121.71,Willow Goldfinch,middle
OH,41.07,-83.58,Northern Cardinal,middle
NM,32.31,-107.48,Greater Roadrunner,middle
MD,39.65,-79.34,Baltimore Oriole,middle
SD,44.86,-97.98,Ring-necked Pheasant,middle
NE,41.98,-103.55,Western Meadowlark,middle
OK,36.95,-101.51,Scissor-tailed Flycatcher,middle
MO,39.71,-94.9,Eastern Bluebird,middle
NC,35.25,-84.2,Northern Cardinal,middle
VT,43.35,-73.1,Hermit Thrush,middle
AR,35.46,-92.46,Northern Mockingbird,middle
VA,38.07,-77.44,Northern Cardinal,middle
KS,37.58,-101.89,Western Meadowlark,middle
IA,40.96,-94.51,Eastern Goldfinch,middle
SD,43.25,-100.55,Ring-necked Pheasant,middle
NY,44.2,-75.23,Eastern Bluebird,middle
MS,33.19,-88.56,Northern Mockingbird,middle
CA,35.59,-117.87,California Quail,middle
SC,33.61,-80.68,Carolina Wren,middle
ME,44.41,-69.31,Chickadee,middle
ME,46.38,-69.06,Chickadee,middle
SC,33.14,-81.7,Carolina Wren,middle
UT,41.61,-111.81,California Gull,middle
RI,41.64,-71.15,Rhode Island Red,middle
NH,44.53,-71.35,Purple Finch,middle
WV,38.43,-82.22,Northern Cardinal,middle
MT,47.99,-110.61,Western Meadowlark,middle
NH,44.38,-71.56,Purple Finch,middle
VT,42.84,-72.56,Hermit Thrush,middle
MO,37.55,-89.89,Eastern Bluebird,middle
AK,61.16,-144.3,Willow Ptarmigan,high
AZ,35.48,-113.96,Cactus Wren,middle
MN,47.95,-95.15,Common Loon,middle
TX,32.06,-94.07,Northern Mockingbird,middle
CA,37.83,-119.62,California Quail,middle
FL,28.98,-81.1,Northern Mockingbird,low
MN,45.49,-93.5,Common Loon,middle
ID,42.92,-114.95,Mountain Bluebird,middle
MT,48.24,-109.01,Western Meadowlark,middle
DE,38.53,-75.08,Delaware Blue Hen,middle
LA,32.67,-91.35,Brown Pelican,middle
ME,45.23,-67.68,Chickadee,middle
CA,34.22,-118.14,California Quail,middle
ME,44.8,-67.98,Chickadee,middle
RI,41.44,-71.55,Rhode Island Red,middle
OH,40.76,-84.54,Northern Cardinal,middle
NH,43.28,-71.84,Purple Finch,middle
GA,30.77,-83.72,Brown Thrasher,middle
CT,41.9,-73.21,American Robin,middle
WV,38.19,-80.23,Northern Cardinal,middle
VT,43.91,-73.37,Hermit Thrush,middle
IN,41.35,-87.53,Northern Cardinal,middle
WA,47.13,-120.28,Willow Goldfinch,middle
ND,46.84,-101.79,Western Meadowlark,middle
CO,40.0,-104.6,Lark Bunting,middle
ND,47.7,-97.57,Western Meadowlark,middle
RI,41.43,-71.63,Rhode Island Red,middle
ID,43.91,-116.81,Mountain Bluebird,middle
KS,37.33,-99.15,Western Meadowlark,middle
GA,31.14,-82.31,Brown Thrasher,middle
ME,45.12,-70.36,Chickadee,middle
ND,48.72,-99.58,Western Meadowlark,middle
MA,42.66,-71.56,Black-capped Chickadee,middle
ID,46.29,-116.51,Mountain Bluebird,middle
AR,33.04,-93.45,Northern Mockingbird,middle
RI,41.67,-71.72,Rhode Island Red,middle
MS,32.09,-90.29,Northern Mockingbird,middle
ND,46.14,-103.16,Western Meadowlark,middle
WI,44.94,-88.81,American Robin,middle
NC,35.06,-79.38,Northern Cardinal,middle
MO,37.97,-92.69,Eastern Bluebird,middle
GA,32.46,-83.73,Brown Thrasher,middle
MS,30.6,-89.48,Northern Mockingbird,middle
PA,41.26,-77.07,Northern Cardinal,middle
WY,41.38,-104.54,Western Meadowlark,middle
OH,40.55,-82.1,Northern Cardinal,middle
ID,45.24,-114.08,Mountain Bluebird,middle
OH,39.27,-82.37,Northern Cardinal,middle
MI,45.23,-87.57,American Robin,middle
NV,41.59,-114.22,Mountain Bluebird,middle
NY,42.15,-76.33,Eastern Bluebird,middle
IL,39.78,-88.88,Northern Cardinal,middle
WI,42.7,-88.94,American Robin,middle
CA,34.23,-117.3,California Quail,middle
WV,39.17,-79.64,Northern Cardinal,middle
WI,43.46,-88.39,American Robin,middle
HI,19.08,-155.73,Hawaiian Nene,low
WI,46.05,-91.12,American Robin,middle
DC,38.89,-76.95,Not Recorded,middle
CO,39.15,-102.57,Lark Bunting,middle
NJ,39.31,-75.1,Eastern Goldfinch,middle
WV,38.6,-81.23,Northern Cardinal,middle
MT,48.45,-113.13,Western Meadowlark,middle
CT,41.37,-72.64,American Robin,middle
OR,44.09,-122.56,Western Meadowlark,middle
LA,30.02,-92.02,Brown Pelican,middle
ND,47.96,-99.71,Western Meadowlark,middle
DC,38.93,-76.97,Not Recorded,middle
CT,41.17,-73.21,American Robin,middle
NM,31.86,-107.14,Greater Roadrunner,middle
NJ,40.1,-74.57,Eastern Goldfinch,middle
KY,37.88,-86.03,Northern Cardinal,middle
SD,43.24,-97.3,Ring-necked Pheasant,middle
NY,44.14,-75.03,Eastern Bluebird,middle
CO,40.13,-105.41,Lark Bunting,middle
GA,32.45,-84.69,Brown Thrasher,middle
NM,32.26,-106.3,Greater Roadrunner,middle
HI,19.67,-155.09,Hawaiian Nene,low
AL,31.46,-87.84,Yellowhammer,middle
WA,46.26,-122.94,Willow Goldfinch,middle
MI,44.92,-84.3,American Robin,middle
IA,42.47,-92.12,Eastern Goldfinch,middle
NE,41.94,-100.63,Western Meadowlark,middle
NE,41.63,-100.22,Western Meadowlark,middle
MD,38.47,-76.67,Baltimore Oriole,middle
VA,36.91,-82.58,Northern Cardinal,middle
MT,48.69,-105.05,Western Meadowlark,middle
